CUSTOMER_ID,SEX,AGE,ANNUAL_INCOME,NUMBER_OF_MONTHS,MARITAL_STATUS,LEASE
6866,M,53,13200.0,12,J,P
6894,W,38,20670.0,13,J,P
6901,W,52,15471.82,13,J,P
6908,W,53,1450.0,13,J,P
6929,M,48,26390.0,13,J,A
6937,M,69,16900.0,13,J,P
6975,M,52,22260.0,14,J,P
6997,W,73,24700.0,13,S,P
7001,M,70,24180.0,13,J,P
7007,W,41,15717.0,13,G,A
7048,W,54,11900.0,14,J,R
7053,W,53,14300.0,13,G,P
7063,M,38,19500.0,13,G,P
7072,M,38,24000.0,12,G,P
7073,M,71,22100.0,13,J,P
7081,W,42,16510.0,13,C,A
7105,W,45,13000.0,13,C,P
7116,M,35,26780.0,13,J,R
7118,M,38,18200.0,14,G,R
7126,M,63,28600.0,13,J,P
7146,M,84,17550.0,13,J,P
7181,W,45,19306.0,14,G,P
7232,M,45,14235.0,13,G,A
7244,W,47,20800.0,13,G,P
7257,M,36,20800.0,13,J,P
7268,M,65,39598.0,13,J,R
7296,M,68,25350.0,13,J,P
7298,M,40,26600.0,14,G,E
7299,M,60,27496.0,14,J,P
7333,M,68,11700.0,13,J,P
7375,W,44,22100.0,13,G,P
7387,M,42,26000.0,13,J,P
7394,M,63,17745.0,13,J,P
7405,M,44,11928.0,12,J,P
7419,M,59,20919.96,12,G,P
7431,W,52,10465.0,13,C,P
7446,M,60,17758.0,13,S,P
7462,W,42,13300.0,14,J,P
7526,M,36,25200.0,14,J,P
7542,M,41,18000.0,12,J,P
7556,M,37,23569.0,13,C,P
7583,M,58,30549.0,12,D,P
7593,M,55,28496.0,13,J,P
7594,W,52,21000.0,14,J,P
7602,M,42,20800.0,13,C,R
7605,M,63,10020.0,6,J,A
7607,M,52,13884.0,13,G,P
7618,M,60,29900.0,13,J,R
7633,M,48,21957.0,13,J,P
7671,M,57,25155.0,13,J,P
7685,M,45,40944.0,12,J,A
7691,W,69,30659.33,13,W,P
7693,M,46,24700.0,13,J,P
7694,W,45,14950.0,13,G,R
7700,M,60,22776.0,13,J,P
7750,M,57,26600.0,14,G,P
7758,W,48,25855.57,13,J,P
7764,W,57,15946.0,14,G,R
7768,M,70,8522.41,13,J,P
7770,W,44,21000.0,14,J,P
7775,M,59,30802.72,13,J,R
7792,M,41,25987.0,13,J,R
7794,M,50,18000.0,12,J,P
7801,M,62,25900.0,14,J,P
7821,M,44,24700.0,13,G,P
7844,M,59,22633.0,13,J,P
7847,M,44,25200.0,14,S,P
7851,W,47,18900.0,14,J,R
7857,M,35,19500.0,13,G,A
7995,M,53,20316.0,12,C,P
8017,W,51,10115.4,10,J,R
8021,M,72,22763.0,13,J,P
8048,W,54,28616.0,14,W,P
8061,M,56,15592.98,13,J,P
8118,W,41,18200.0,13,G,P
8120,W,57,11587.92,12,J,P
8127,M,47,46200.0,14,J,P
8133,W,59,19500.0,13,J,P
8159,M,67,18200.0,13,J,P
8166,W,57,47824.0,14,J,P
8233,M,53,20800.0,13,J,P
8241,M,48,23534.0,14,J,R
8243,W,38,20670.0,13,D,P
8254,M,56,18196.23,13,S,E
8314,M,45,18382.0,13,C,R
8315,W,66,22100.0,13,W,P
8327,M,51,62907.0,13,G,P
8330,W,53,19240.0,13,S,P
8338,M,67,11050.0,13,J,P
8349,W,65,14950.0,13,W,P
8351,M,60,16900.0,13,J,P
8377,M,46,19500.0,13,J,P
8408,M,69,14560.0,13,J,P
8424,M,63,22400.0,14,D,X
8431,M,48,15600.0,13,G,A
8450,M,56,28000.0,14,D,P
8467,M,60,18718.0,14,J,P
8484,W,36,8450.0,13,S,P
8485,M,71,16692.0,13,J,P
8506,M,47,20800.0,13,J,P
8510,W,54,20340.58,13,D,R
8519,M,50,49000.0,14,D,P
8541,M,43,27300.0,13,J,P
8542,M,56,16601.0,13,G,A
8575,M,54,26000.0,13,J,P
8579,M,58,19383.0,13,J,P
8583,M,38,18708.9,14,S,A
8585,M,37,21970.0,13,J,R
8599,W,63,22100.0,13,J,P
8629,M,61,16705.0,13,S,R
8646,M,70,27300.0,13,J,P
8650,M,69,20800.0,13,J,P
8656,M,61,24500.0,14,J,P
8657,W,57,23218.0,13,J,P
8666,W,54,26489.84,13,J,P
8681,W,51,22100.0,13,J,E
8687,W,43,21294.0,14,C,P
8695,W,44,17550.0,13,G,R
8703,M,41,23400.0,13,J,P
8717,M,45,15540.0,14,G,P
8720,W,71,36996.0,12,J,P
8722,M,74,41600.0,13,J,P
8736,M,55,19656.0,13,J,P
8745,M,47,32500.0,13,J,P
8751,M,46,22964.62,14,J,P
8756,M,73,14300.0,13,J,P
8770,M,56,22400.0,14,J,P
8774,M,46,19149.0,13,C,A
8781,W,51,23800.0,14,D,R
8788,M,56,19500.0,13,J,P
8811,M,57,35000.0,14,J,P
8813,M,43,28630.0,14,J,P
8820,W,58,17500.0,14,J,R
8831,M,60,14317.29,13,J,P
8841,W,66,16900.0,13,G,P
8844,W,40,14742.0,13,S,P
8845,M,41,23322.0,13,G,A
8865,M,63,24050.0,13,D,A
8893,M,46,31514.0,14,J,P
8930,M,52,16800.0,14,J,R
8932,M,49,24724.0,14,J,P
8934,M,65,17017.0,13,J,P
8943,M,55,19500.0,13,D,R
8947,M,45,20592.0,13,J,P
8958,W,58,19500.0,13,S,P
8996,M,48,18357.3,13,J,P
9000,M,52,23400.0,13,J,P
9021,W,65,23387.0,13,J,P
9025,M,57,20800.0,13,J,P
9029,W,58,18460.0,13,J,P
9034,W,38,10413.0,13,G,A
9051,W,68,26000.0,13,G,P
9058,M,46,24660.0,12,J,A
9075,M,51,12000.0,12,G,R
9077,W,56,18200.0,13,D,P
9082,M,66,30000.0,12,J,R
