CUSTOMER_ID,STATUS,SECTOR_TYPE,GOOD_VALUE,ADVANCE_VALUE,LOAN_VALUE,INSTALLMENT_VALUE,NUMBER_INSTALLMENT,GAPR,NIR,REFINANCED,FROM_REFINANCE
1623,CONCLUDED REGULARLY,FL,399.0,0.0,399.0,19.95,20,0.0,0.0,N,N
1641,CONCLUDED REGULARLY,FL,349.0,0.0,363.0,363.0,1,10.352,99.99999,N,N
1641,CONCLUDED REGULARLY,FL,799.0,0.0,814.0,135.67,6,6.609,0.009,N,N
1641,CONCLUDED REGULARLY,FL,966.8,0.0,1017.55,84.8,12,9.99177,0.00907,N,N
1641,CONCLUDED REGULARLY,FL,399.0,0.0,399.0,66.5,6,17.00833,0.0,N,N
1641,CONCLUDED REGULARLY,FL,396.79,0.0,396.79,39.68,10,0.00549,0.00549,N,N
1641,CONCLUDED REGULARLY,FL,748.89,0.0,748.89,74.89,10,0.00292,0.00292,N,N
1649,EARLY EXPIRED,CL,12000.0,7000.0,5135.0,189.5,30,8.336,8.033,Y,N
1649,CONCLUDED REGULARLY,PL,6000.0,0.0,6276.13,211.2,36,15.029,12.911,N,Y
1649,CONCLUDED REGULARLY,FL,628.93,0.0,628.93,62.9,10,10.79883,10.29855,N,N
1649,CONCLUDED REGULARLY,FL,399.0,0.0,399.0,46.59,9,27.62881,10.01748,N,N
1659,EARLY EXPIRED,CL,9000.0,1000.0,8130.0,195.0,48,8.213,7.084,N,N
1659,EARLY EXPIRED,CL,17700.0,0.0,18587.77,368.5,60,7.598,7.05,Y,N
1659,EARLY EXPIRED,PL,25000.0,0.0,27492.33,361.0,108,8.782,8.216,N,Y
1659,EARLY EXPIRED,PL,2000.0,0.0,2173.5,68.0,36,12.8291,7.89065,Y,N
1659,EARLY EXPIRED,PL,19000.0,0.0,20511.52,363.5,72,9.20863,8.2011,Y,Y
1671,CONCLUDED REGULARLY,FL,1500.0,0.0,1500.0,250.0,6,0.0,0.0,N,N
1682,EARLY EXPIRED,CL,13500.0,3500.0,10512.43,212.14,60,8.723,7.783,Y,N
1682,CONCLUDED REGULARLY,CL,11500.0,1500.0,10536.3,252.5,48,8.227,7.04,N,Y
1682,CONCLUDED REGULARLY,FL,399.99,0.0,399.99,19.99,20,0.0,0.0,N,N
1682,CONCLUDED REGULARLY,FL,699.98,0.0,699.98,41.85,18,18.82592,9.41359,N,N
1692,CONCLUDED REGULARLY,FL,499.0,0.0,499.0,86.5,6,14.497,13.614,N,N
1692,CONCLUDED REGULARLY,FL,500.0,0.0,500.0,50.0,10,26.60191,10.27482,N,N
1692,CONCLUDED REGULARLY,FL,604.99,0.0,604.99,60.5,10,0.0036,0.0036,N,N
1694,CONCLUDED REGULARLY,CL,5000.0,1000.0,4120.0,132.75,36,10.363,9.901,N,N
1694,CONCLUDED REGULARLY,FL,3835.0,0.0,3835.0,142.5,30,9.59036,8.04779,N,N
1694,CONCLUDED REGULARLY,FL,339.0,0.0,339.0,33.9,10,0.0,0.0,N,N
1731,CONCLUDED REGULARLY,FL,688.99,0.0,688.99,68.9,10,0.00316,0.00316,N,N
1731,CONCLUDED REGULARLY,FL,699.89,0.0,699.89,69.99,11,15.49621,14.49358,N,N
